Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_2,formula_58.cnf,./problems/t_batch_2/formula_58.cnf,True,1,0.351,1,3899,3899.0,5333.427449999999,15194.95,5333.427449999999,2025-03-09T13:27:48.769637
t_batch_2,formula_59.cnf,./problems/t_batch_2/formula_59.cnf,True,1,0.477,1,5401,5401.0,7283.81385,15270.05,7283.81385,2025-03-09T13:27:48.774452
t_batch_2,formula_6.cnf,./problems/t_batch_2/formula_6.cnf,True,1,19.627,1,221035,221035.0,511317.69724999997,26051.75,511317.69724999997,2025-03-09T13:27:48.799940
t_batch_2,formula_60.cnf,./problems/t_batch_2/formula_60.cnf,True,1,0.006,1,42,42.0,90.01259999999999,15002.1,90.01259999999999,2025-03-09T13:27:48.803325
t_batch_2,formula_61.cnf,./problems/t_batch_2/formula_61.cnf,True,1,0.236,1,2442,2442.0,3568.8156,15122.1,3568.8156,2025-03-09T13:27:48.807798
t_batch_2,formula_62.cnf,./problems/t_batch_2/formula_62.cnf,True,1,9.991,1,115571,115571.0,207598.49305,20778.55,207598.49305,2025-03-09T13:27:48.822382
t_batch_2,formula_63.cnf,./problems/t_batch_2/formula_63.cnf,True,1,0.249,1,2539,2539.0,3766.61055,15126.95,3766.61055,2025-03-09T13:27:48.827173
t_batch_2,formula_64.cnf,./problems/t_batch_2/formula_64.cnf,True,1,0.415,1,4486,4486.0,6318.084499999999,15224.3,6318.084499999999,2025-03-09T13:27:48.832353
t_batch_2,formula_65.cnf,./problems/t_batch_2/formula_65.cnf,True,1,3.507,1,40714,40714.0,59744.19990000001,17035.7,59744.19990000001,2025-03-09T13:27:48.840933
t_batch_2,formula_66.cnf,./problems/t_batch_2/formula_66.cnf,True,1,0.221,1,2450,2450.0,3342.0725,15122.5,3342.0725,2025-03-09T13:27:48.845809
t_batch_2,formula_67.cnf,./problems/t_batch_2/formula_67.cnf,True,1,0.009,1,72,72.0,135.03239999999997,15003.6,135.03239999999997,2025-03-09T13:27:48.849379
t_batch_2,formula_68.cnf,./problems/t_batch_2/formula_68.cnf,True,1,0.135,1,1269,1269.0,2033.5657500000002,15063.45,2033.5657500000002,2025-03-09T13:27:48.854085
t_batch_2,formula_69.cnf,./problems/t_batch_2/formula_69.cnf,True,1,1.732,1,18292,18292.0,27564.087199999998,15914.6,27564.087199999998,2025-03-09T13:27:48.861111
t_batch_2,formula_7.cnf,./problems/t_batch_2/formula_7.cnf,True,1,1.292,1,13125,13125.0,20227.875,15656.25,20227.875,2025-03-09T13:27:48.868478
t_batch_2,formula_70.cnf,./problems/t_batch_2/formula_70.cnf,True,1,8.505,1,92872,92872.0,167068.818,19643.6,167068.818,2025-03-09T13:27:48.882945
t_batch_2,formula_71.cnf,./problems/t_batch_2/formula_71.cnf,True,1,0.741,1,7660,7660.0,11398.803000000002,15383.0,11398.803000000002,2025-03-09T13:27:48.889841
t_batch_2,formula_72.cnf,./problems/t_batch_2/formula_72.cnf,True,1,6.52,1,68705,68705.0,120197.83,18435.25,120197.83,2025-03-09T13:27:48.901884
t_batch_2,formula_73.cnf,./problems/t_batch_2/formula_73.cnf,True,1,0.299,1,3241,3241.0,4533.45295,15162.05,4533.45295,2025-03-09T13:27:48.908526
t_batch_2,formula_74.cnf,./problems/t_batch_2/formula_74.cnf,True,1,0.791,1,8163,8163.0,12187.846650000001,15408.15,12187.846650000001,2025-03-09T13:27:48.915420
t_batch_2,formula_75.cnf,./problems/t_batch_2/formula_75.cnf,True,1,1.671,1,16036,16036.0,26404.807799999995,15801.8,26404.807799999995,2025-03-09T13:27:48.923023
t_batch_2,formula_76.cnf,./problems/t_batch_2/formula_76.cnf,True,1,2.532,1,25438,25438.0,41200.4508,16271.9,41200.4508,2025-03-09T13:27:48.931575
t_batch_2,formula_77.cnf,./problems/t_batch_2/formula_77.cnf,True,1,0.022,1,157,157.0,330.17269999999996,15007.85,330.17269999999996,2025-03-09T13:27:48.935361
t_batch_2,formula_78.cnf,./problems/t_batch_2/formula_78.cnf,True,1,1.32,1,14620,14620.0,20764.92,15731.0,20764.92,2025-03-09T13:27:48.942241
t_batch_2,formula_79.cnf,./problems/t_batch_2/formula_79.cnf,True,1,3.77,1,42887,42887.0,64634.199499999995,17144.35,64634.199499999995,2025-03-09T13:27:48.951736
t_batch_2,formula_8.cnf,./problems/t_batch_2/formula_8.cnf,True,1,1.926,1,19814,19814.0,30798.088200000002,15990.7,30798.088200000002,2025-03-09T13:27:48.959814
t_batch_2,formula_80.cnf,./problems/t_batch_2/formula_80.cnf,True,1,0.775,1,8963,8963.0,11972.316249999998,15448.15,11972.316249999998,2025-03-09T13:27:48.966898
t_batch_2,formula_81.cnf,./problems/t_batch_2/formula_81.cnf,True,1,2.701,1,30321,30321.0,44609.851050000005,16516.05,44609.851050000005,2025-03-09T13:27:48.975533
t_batch_2,formula_9.cnf,./problems/t_batch_2/formula_9.cnf,True,1,18.926,1,217010,217010.0,489246.56299999997,25850.5,489246.56299999997,2025-03-09T13:27:49.000904
t_batch_3,000.cnf,./problems/t_batch_3/000.cnf,True,1,0.249,1,1861,1861.0,3758.1694499999994,15093.05,3758.1694499999994,2025-03-09T13:27:49.008513
